t,OIOpen,OIHigh,OILow,OIClose,open,high,low,close,Volume,bv,tx,btx,PFopen,PFhigh,PFlow,PFclose,LL,LS
2023-06-17 00:53:00,105154.496,105154.496,105145.673,105145.673,26325.7,26327.9,26323.6,26324.8,56.839,42.588,307.0,173.0,0.009203,0.009203,0.009203,0.009203,0,0
2023-06-17 00:54:00,105145.723,105145.723,105144.687,105144.687,26324.8,26325.8,26323.5,26324.7,63.616000000000014,39.68200000000001,256.0,153.0,0.009203,0.009203,0.009203,0.009203,0,0
2023-06-17 00:55:00,105172.843,105172.843,105172.843,105172.843,26324.6,26325.3,26308.5,26313.9,256.457,105.965,562.0,242.0,0.009159,0.009159,0.009159,0.009159,0,0
2023-06-17 00:56:00,105199.141,105203.954,105194.146,105203.954,26313.9,26315.0,26306.0,26313.0,181.89299999999992,62.62799999999999,597.0,287.0,0.009094,0.009094,0.009094,0.009094,0,0
2023-06-17 00:57:00,105224.636,105228.637,105224.636,105228.637,26312.9,26313.0,26305.2,26305.2,98.16300000000004,26.836000000000006,320.0,119.0,0.009074,0.009074,0.009074,0.009074,0,0
2023-06-17 00:58:00,105224.127,105224.127,105224.127,105224.127,26305.3,26308.8,26305.2,26308.7,77.994,55.68699999999999,279.0,155.0,0.009045,0.009045,0.009045,0.009045,0,0
2023-06-17 00:59:00,105227.786,105227.786,105222.95,105222.95,26308.8,26308.8,26302.0,26302.1,148.048,61.865000000000016,342.0,122.0,0.009045,0.009045,0.009045,0.009045,0,0
2023-06-17 01:00:00,105217.713,105217.713,105213.285,105213.285,26302.0,26308.7,26301.9,26303.7,205.77400000000003,95.07100000000001,547.0,280.0,0.008998,0.008998,0.008998,0.008998,0,0
2023-06-17 01:01:00,105216.617,105216.617,105216.617,105216.617,26303.7,26305.0,26302.3,26304.9,60.105999999999966,34.413,292.0,168.0,0.008974,0.008974,0.008974,0.008974,0,0
2023-06-17 01:02:00,105216.868,105216.868,105214.302,105215.607,26304.9,26306.2,26304.9,26306.2,50.16,30.596999999999998,272.0,161.0,0.008953,0.008953,0.008953,0.008953,0,0
2023-06-17 01:03:00,105224.539,105224.539,105224.539,105224.539,26306.1,26309.1,26300.4,26304.7,112.23599999999999,26.105999999999998,403.0,212.0,0.008959,0.008959,0.008959,0.008959,0.743,0.0
2023-06-17 01:04:00,105213.099,105229.321,105213.099,105229.321,26304.6,26305.2,26304.6,26305.2,55.978000000000016,42.84000000000001,258.0,158.0,0.008959,0.008959,0.008959,0.008959,0,0
2023-06-17 01:05:00,105227.493,105250.354,105227.493,105250.354,26305.1,26305.2,26302.4,26303.5,82.13599999999997,56.04500000000001,307.0,159.0,0.00897,0.00897,0.00897,0.00897,0,0
2023-06-17 01:06:00,105221.191,105221.191,105221.191,105221.191,26303.5,26303.6,26293.7,26297.4,274.82000000000005,64.07500000000005,536.0,226.0,0.008965,0.008965,0.008965,0.008965,0.009,0.0
2023-06-17 01:07:00,105228.401,105231.382,105228.401,105231.382,26297.4,26297.5,26288.3,26293.2,199.00200000000004,87.817,552.0,252.0,0.008935,0.008935,0.008935,0.008935,0.088,0.0
2023-06-17 01:08:00,105213.44,105213.44,105186.155,105186.155,26293.1,26299.2,26293.1,26293.2,110.70100000000004,63.65300000000001,442.0,220.0,0.008876,0.008876,0.008876,0.008876,0,0
2023-06-17 01:09:00,105189.799,105190.379,105189.799,105190.379,26293.2,26296.0,26292.9,26294.0,73.075,38.98899999999999,309.0,150.0,0.008876,0.008876,0.008876,0.008876,0,0
2023-06-17 01:10:00,105176.2,105207.957,105176.2,105207.957,26294.0,26299.7,26290.0,26295.1,169.50700000000003,97.015,485.0,257.0,0.008843,0.008843,0.008843,0.008843,0,0
2023-06-17 01:11:00,105209.187,105210.887,105209.187,105210.887,26295.1,26295.1,26291.0,26291.0,56.48899999999999,17.985000000000007,258.0,106.0,0.008793,0.008793,0.008793,0.008793,0,0
